user_id,item_id,rating,timestamp,rating_normalized
1,61,4,878542420,0.35779816513761453
1,189,3,888732928,-0.6422018348623855
1,33,4,878542699,0.35779816513761453
1,160,4,875072547,0.35779816513761453
1,20,4,887431883,0.35779816513761453
1,202,5,875072442,1.3577981651376145
1,265,4,878542441,0.35779816513761453
1,155,2,878542201,-1.6422018348623855
1,47,4,875072125,0.35779816513761453
1,222,4,878873388,0.35779816513761453
1,253,5,874965970,1.3577981651376145
1,113,5,878542738,1.3577981651376145
1,227,4,876892946,0.35779816513761453
1,90,4,878542300,0.35779816513761453
1,64,5,875072404,1.3577981651376145
1,92,3,876892425,-0.6422018348623855
1,266,1,885345728,-2.6422018348623855
1,121,4,875071823,0.35779816513761453
1,132,4,878542889,0.35779816513761453
1,98,4,875072404,0.35779816513761453
1,186,4,875073128,0.35779816513761453
1,221,5,887431921,1.3577981651376145
1,84,4,875072923,0.35779816513761453
1,70,3,875072895,-0.6422018348623855
1,60,5,875072370,1.3577981651376145
1,177,5,876892701,1.3577981651376145
1,27,2,876892946,-1.6422018348623855
1,260,1,875071713,-2.6422018348623855
1,145,2,875073067,-1.6422018348623855
1,174,5,875073198,1.3577981651376145
1,159,3,875073180,-0.6422018348623855
1,82,5,878542589,1.3577981651376145
1,56,4,875072716,0.35779816513761453
1,272,3,887431647,-0.6422018348623855
1,229,4,878542075,0.35779816513761453
1,140,1,878543133,-2.6422018348623855
1,120,1,875241637,-2.6422018348623855
1,125,3,878542960,-0.6422018348623855
1,215,3,876893145,-0.6422018348623855
1,6,5,887431973,1.3577981651376145
1,104,1,875241619,-2.6422018348623855
1,49,3,878542478,-0.6422018348623855
1,206,4,876893205,0.35779816513761453
1,76,4,878543176,0.35779816513761453
1,72,4,878542678,0.35779816513761453
1,185,4,875072631,0.35779816513761453
1,96,5,875072716,1.3577981651376145
1,213,2,876892896,-1.6422018348623855
1,233,2,878542552,-1.6422018348623855
1,81,5,875072865,1.3577981651376145
1,78,1,878543176,-2.6422018348623855
1,212,4,875072895,0.35779816513761453
1,143,1,875072631,-2.6422018348623855
1,151,4,875072865,0.35779816513761453
1,51,4,878543275,0.35779816513761453
